7.26c,"['Level 10 left talent: +8%  Mirror Image illusion outgoing damage increased to +9%.', 'Level 10 right talent: +15 movement speed increased to +20.', 'Level 15 left talent: +11  strength increased to +13.', 'Level 20 right talent: -7s  Ensnare cooldown increased to -9s.', 'Talents:']"
7.26b,"['Level 10 left talent: +10%  Mirror Image illusion outgoing damage reduced to +8%.', 'Level 10 right talent: +20 movement speed reduced to +15.', 'Level 15 left talent: +14  strength reduced to +11.', 'Level 15 right talent: +12  agility reduced to +10.', 'Level 20 right talent: -9s  Ensnare cooldown reduced to -7s.', 'Level 25 left talent: +6  Rip Tide armor reduction reduced to +5.', 'Level 25 right talent: 30% evasion reduced to 25%.', 'Talents:']"
7.23,"['Level 20 right talent: -7s  Ensnare cooldown increased to -9s.', 'Reduced  agility gain from 3.7 to 3.5.', 'Talents:']"
7.21d,['Reduced  Mirror Image illusion damage taken from 400% to 350%.']
7.21,"['Level 20 right talent: -5s  Ensnare cooldown increased to -7s.', 'Increased  agility gain from 3.2 to 3.7.', 'Increased movement speed from 315 to 320.', ' Mirror Image\nReduced illusion damage taken from 475/450/425/400% to 400% on each level.\nIncreased duration from 24 to 26.', 'Reduced illusion damage taken from 475/450/425/400% to 400% on each level.', 'Increased duration from 24 to 26.', 'Talents:']"
7.20c,"['Level 15 right talent: +15  agility reduced to +12.', 'Talents:']"
7.20,"['Proc chance: 17%', 'Radius: 300', 'Damage: 30/40/50/60', 'Armor reduction: 2/4/6/8', 'Duration: 4', 'Reduced base health regeneration from 3 to 1.5.', 'Reduced base mana regeneration from 0.9 to 0.', ' Mirror Image\nReduced illusion damage taken from 550%/500%/450%/400% to 475%/450%/425%/400%.\nReduced duration from 30 to 24.\nIncreased mana cost from 70/80/90/100 to 70/85/100/115.\nRescaled cooldown from 40 on each level to 45/40/35/30.', 'Reduced illusion damage taken from 550%/500%/450%/400% to 475%/450%/425%/400%.', 'Reduced duration from 30 to 24.', 'Increased mana cost from 70/80/90/100 to 70/85/100/115.', 'Rescaled cooldown from 40 on each level to 45/40/35/30.', ' Ensnare\nNo longer interrupts the target.\nNo longer pierces spell immunity.', 'No longer interrupts the target.', 'No longer pierces spell immunity.', 'Reworked  Rip Tide']"
7.18,"['Increased  Ensnare cooldown from 12 to 14.', 'Reduced  Rip Tide damage from 120/160/200/240 to 80/130/180/230.']"
7.17,['Increased  Song of the Siren mana cost from 100/150/200 to 150/175/200.']
7.15,['Increased base  strength from 21 to 22.']
7.10,"['Reduced debuff linger duration from 0.5 to 0.4.', 'Increased mana cost from 100 on each level to 100/150/200.', ' Song of the Siren\nReduced debuff linger duration from 0.5 to 0.4.\nIncreased mana cost from 100 on each level to 100/150/200.']"
7.07c,"['Level 10 left talent changed: +175 health -> +10%  Mirror Image illusion outgoing damage.', 'Increased  agility gain from 2.75 to 3.2.', 'Talents:']"
7.07,"['Level 10: +125 health or +250 mana', 'Level 15: -3s  Ensnare cooldown or +30 attack speed', 'Level 20: +20  strength or +15  agility', 'Level 25: +1  Mirror Image illusion or +40 movement speed', 'Reduced movement speed from 320 to 315.', 'Increased base health regeneration from 1.5 to 3.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reduced  Ensnare mana cost from 100 on each level to 70/80/90/100.', 'Reworked talents:']"
7.06e,['Increased base health regeneration from 0.5 to 1.5.']
7.06,"['Increased  strength gain from 2.5 to 2.8.', 'Reduced base health regeneration from 0.75 to 0.5.', 'Rescaled  Mirror Image illusion damage taken from 600%/500%/400%/300% to 550%/500%/450%/400%.', ' Ensnare', 'Reduced cast time from 0.65 to 0.6.', 'Rescaled mana cost from 90/100/110/120 to 100 on each level.', 'Increased  Rip Tide damage from 100/140/180/220 to 120/160/200/240.', ' Song of the Siren\nIncreased cast time from 0.8 to 1.\nRescaled radius from 1250 on each level to 1000/1200/1400.\nRescaled cooldown from 180/120/60 to 160/120/80.', 'Increased cast time from 0.8 to 1.', 'Rescaled radius from 1250 on each level to 1000/1200/1400.', 'Rescaled cooldown from 180/120/60 to 160/120/80.']"
7.02,"['Level 15 left talent changed: 15% evasion -> 3s  Ensnare cooldown.', 'Talents:']"
7.00,"['Level 10: +125 health or +250 mana', 'Level 15: 15% evasion or +30 attack speed', 'Level 20: +20  strength or +15  agility', 'Level 25: +1  Mirror Image illusion or +40 movement speed', "" Rip Tide's damage is now credited to the illusion which applies the damage. [?]"", 'Added talents:']"
6.88,['Increased  strength gain from 2.3 to 2.5.']
6.87,"['Increased attack range from 128 to 150.', 'Increased  Mirror Image illusion damage dealt from 20%/25%/30%/35% to 25%/30%/35%/40%.', ' Song of the Siren now affects ancient creeps.', ""Increased  Aghanim's Scepter upgraded  Song of the Siren heal per second from 8% to 10% of maximum health.""]"
6.86,['Increased base  intelligence and gain from 18 + 1.95 to 21 + 2.']
6.85,"['Reduced  Rip Tide damage from 130/160/190/220 to 100/140/180/220.', ""Increased  Aghanim's Scepter upgraded  Song of the Siren heal per second from 6% to 8% of maximum health.""]"
6.84,"['Is no longer removed by ethereal state.', 'Is now dispellable.', 'Reduced cooldown from 14 to 12.', ' Ensnare\nIs no longer removed by ethereal state.\nIs now dispellable.\nReduced cooldown from 14 to 12.', ' Rip Tide no longer ignores ancient creeps, Roshan and creep-heroes.', ""Added  Aghanim's Scepter upgrade for Naga Siren: Causes  Song of the Siren to regenerate Naga Siren and nearby allies by 6% of maximum health per second for the duration.""]"
6.82c,['Increased  Song of the Siren cast point increased from 0.65 to 0.8.']
6.81,"['Reduced  Mirror Image illusion damage dealt from 30%/35%/40%/45% to 20%/25%/30%/35%.', ' Rip Tide\nReduced radius from 350 to 320.\nArmor reduction debuff no longer goes through spell immunity.', 'Reduced radius from 350 to 320.', 'Armor reduction debuff no longer goes through spell immunity.']"
6.79,"['Reduced  Rip Tide radius from 450 to 350.', 'Increased  Ensnare mana cost from 75/85/95/105 to 90/100/110/120.']"
6.78,['Reduced  Rip Tide cooldown from 19/16/13/10 to 10.']
6.76,['Increased  Rip Tide cooldown from 10 to 19/16/13/10.']
6.75,"['Reduced base attack damage from 35-37 to 23-25 (total attack damage is now 44-46).', 'Increased  Mirror Image,  Ensnare,  Song of the Siren cast point from 0.5 to 0.65.']"
6.74,['Reworked  Rip Tide']
6.73,"['Increased  Ensnare cast range from 620/630/640/650 to 650.', 'Increased  Song of the Siren radius from 750 to 1250.', ' Song of the Siren End is now only available 0.5 seconds after the cast of Song of the Siren.']"
6.72d,"['Increased collision size from 12 to 24.', 'Increased  Song of the Siren duration from 6 to 7.', 'Reduced  Rip Tide cooldown from 12 to 10.']"
6.72c,"['Reduced collision size from 24 to 12.', 'Increased  intelligence gain from 1.65 to 1.95.']"
6.72,"['Increased base health regeneration from 0.25 to 0.75.', 'Increased attack range from 100 to 128.', ""All of Naga Siren's illusions within 900 radius around her now cast a fake Ensnare whenever Naga Siren casts it."", 'Replaced  Critical Strike with  Rip Tide']"
6.70,['Increased base attack damage from 30-32 to 35-37 (total attack damage is now 56-58).']
6.63,"['Increased number of illusions from 1/2/3/3 to 3 on each level.', 'Increased illusion damage dealt from 15%/30%/30%/45% to 30%/35%/40%/45%.', 'Increased illusion damage taken from 400% to 600%/500%/400%/300%.', ' Mirror Image\nIncreased number of illusions from 1/2/3/3 to 3 on each level.\nIncreased illusion damage dealt from 15%/30%/30%/45% to 30%/35%/40%/45%.\nIncreased illusion damage taken from 400% to 600%/500%/400%/300%.']"
6.60,"['Reduced collision size from 24 to 8.', ' Mirror Image\nReduced split time from 0.5 to 0.3.\nReduced cooldown from 50 to 40.\nReduced mana cost from 85/105/130/150 to 70/80/90/100.', 'Reduced split time from 0.5 to 0.3.', 'Reduced cooldown from 50 to 40.', 'Reduced mana cost from 85/105/130/150 to 70/80/90/100.']"
6.50,"['Reduced  Mirror Image cooldown from 60 to 50.', 'Reduced  Song of the Siren mana cost from 200/275/360 to 200 on each level.']"
6.42,[' Song of the Siren now also affects invisible enemies and enemies in the Fog of War.']
6.35,"['Increased base armor from 0 to 3 (total armor is now 5.94)', 'Increased base  strength and gain from 19 + 1.9 to 21 + 2.3.', 'Increased base  intelligence from 15 to 18.']"
6.20,"['Reduced sleep duration from 6/8/10 to 6/7/8', 'Increased invulnerability duration from 4/5.5/7 to 6/7/8.', ' Song of the Siren\nReduced sleep duration from 6/8/10 to 6/7/8\nIncreased invulnerability duration from 4/5.5/7 to 6/7/8.']"
6.17,"['Increased  agility gain from 2.65 to 2.75.', 'Increased base attack damage from 25-27 to 30-32 (total attack damage is now 51-53).']"
6.04,['Increased base  strength from 17 to 19.']
6.00,"['Improved Attack Animation from 0.550/0.400 to 0.500/0.500.', 'Improved Cast Animation from 0.300/2.400 to 0.500/0.700.']"
5.84,['Increased  Ensnare cooldown from 10 to 14.']
5.75,['Reduced  Ensnare cooldown from 11 to 10.']
5.61,"['Reduced radius from 1000/2000/global to 1000/1500/2000.', 'Increased invulnerability duration from 2/3/4 to 4/5.5/7.', 'Increased duration from 6/9/6 to 6/8/10.', ' Song of the Siren (Pre 6.72)\nReduced radius from 1000/2000/global to 1000/1500/2000.\nIncreased invulnerability duration from 2/3/4 to 4/5.5/7.\nIncreased duration from 6/9/6 to 6/8/10.']"
5.59,['Reduced  Song of the Siren (Pre 6.72) mana cost from 200/325/550 to 200/275/360.']
5.58,"['Increased base attack time from 1.50 to 1.70.', 'Reduced base attack damage from 26-30 to 25-27.', 'Reduced  strength gain from 2.00 to 1.90.', 'Reduced base  agility from 23 to 21.', 'Reduced  agility gain from 2.95 to 2.65.', 'Reduced  intelligence gain from 1.80 to 1.65.', 'Reduced  Ensnare duraton from 3/4/5/6 to 2/3/4/5.']"
5.55,"['Reduced cast range from 700 to 620.', 'Reduced cooldown from 12 to 11.', ' Ensnare\nReduced cast range from 700 to 620.\nReduced cooldown from 12 to 11.']"
5.54,"['Increased Ensnare duration from 2/3/4/5 to 3/4/5/6.', ' Critical Strike\nRescaled proc chance from 15% to 15/25/35/45%.\nRescaled critical damage from 150/200/250/300% to 150%.', 'Rescaled proc chance from 15% to 15/25/35/45%.', 'Rescaled critical damage from 150/200/250/300% to 150%.', 'Reduced  Song of the Siren (Pre 6.72) duration from 6/9/7 to 6/9/6.']"
5.50,"['Increased base HP from 100 to 150.', ""Removed  Aghanim's Scepter Upgrade for Naga Siren.""]"
5.40,"['Entraps an enemy unit in a net, rendering the unit unable to move.', 'Cast Range: 700.', 'Duration: 2/3/4/5.', 'Cooldown: 12.', 'Mana Cost: 75/85/95/115.', 'Projectile Speed: 1500.', 'Replaced  Blink with  Ensnare.']"
5.35,"['Short distance teleportation that allows one to move in and out of combat.', 'Cast Range: Global.', 'Max Blink Distance: 1000/1075/1150/1150.', 'Min Blink Distance: 200.', 'Mana Cost: 50.', 'Cooldown: 10/7/5/2.', 'Replaced  Sleep with  Blink']"
5.34,['Increased  Song of the Siren (Pre 6.72) cooldown from 120/90/60 to 120.']
5.31,"['Increased cooldown from 0 to 120/90/60.', 'Increased 200/300/400 to 200/325/550.', 'Reduced radius from 1200/3600/global to 1000/2000/global.', ' Song of the Siren (Pre 6.72)\nIncreased cooldown from 0 to 120/90/60.\nIncreased 200/300/400 to 200/325/550.\nReduced radius from 1200/3600/global to 1000/2000/global.']"
5.10,"['Puts a target enemy unit to sleep. A sleeping unit can be awoken by attacking it.', 'Cast Range: 800.', 'Invulnerability Duration: 2/3/4/5.', 'Sleep Duration: 5/8/11/15.', 'Mana Cost: 95/105/115/125.', 'Cooldown: 30.', 'Reduced base attack damage from 28-41 to 26-30.', 'Reduced base attack time from 1.55 to 1.50.', 'Replaced  Blink with  Sleep']"
4.1beta01,"['Increased mana cost from 50/10/5/1 to 50/50/50/50.', 'Reduced cooldown from 10/10/7/5 to 10/7/5/2.', ' Blink\nIncreased mana cost from 50/10/5/1 to 50/50/50/50.\nReduced cooldown from 10/10/7/5 to 10/7/5/2.']"
4.0beta6,"['Increased base attack damage from 23-34 to 28-41.', 'Reduced base armor from 2 to 1.']"
4.0beta5,"['Increased illusion damage taken from 300% to 300/300/300/350%.', 'Increased cooldown from 10 to 60.', 'Rescaled mana cost from 150 to 85/105/130/150.', ' Mirror Image\nIncreased illusion damage taken from 300% to 300/300/300/350%.\nIncreased cooldown from 10 to 60.\nRescaled mana cost from 150 to 85/105/130/150.', 'Increased  Blink cooldown from 10/10/5/2 to 10/10/7/5.']"
4.0beta2,['Created.']
